"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2020","1130500000",M020011,,,,,,,,,,,,,,,,,,,12704,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","1147000000",M020011,,,,,,,,,,,,,,,,,,,9745,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4155000000",M020011,,,,,,,,,,,,,,,,,,,6124,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4129000000",M020011,,,,,,,,,,,,,,,,,,,1059,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4311200000",M020011,,,,,,,,,,,,,,,,,,,5461,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4824000000",M020011,,,,,,,,,,,,,,,,,,,6248,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2817700000",M020011,,,,,,,,,,,,,,,,,,,14247,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4165000000",M020011,,,,,,,,,,,,,,,,,,,5117,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4375000000",M020011,,,,,,,,,,,,,,,,,,,2582,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4689000000",M020011,,,,,,,,,,,,,,,,,,,4073,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2920000000",M020011,,,,,,,,,,,,,,,,,,,8769,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","1123000000",M020011,,,,,,,,,,,,,,,,,,,9808,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2626000000",M020011,,,,,,,,,,,,,,,,,,,7774,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4573000000",M020011,,,,,,,,,,,,,,,,,,,1938,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4671000000",M020011,,,,,,,,,,,,,,,,,,,2852,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4128700000",M020011,,,,,,,,,,,,,,,,,,,6245,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4180000000",M020011,,,,,,,,,,,,,,,,,,,2346,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4148000000",M020011,,,,,,,,,,,,,,,,,,,8467,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4577000000",M020011,,,,,,,,,,,,,,,,,,,2368,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4717000000",M020011,,,,,,,,,,,,,,,,,,,8789,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4477000000",M020011,,,,,,,,,,,,,,,,,,,4311,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4217000000",M020011,,,,,,,,,,,,,,,,,,,3828,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4111500000",M020011,,,,,,,,,,,,,,,,,,,5207,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2914000000",M020011,,,,,,,,,,,,,,,,,,,9634,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4513000000",M020011,,,,,,,,,,,,,,,,,,,10940,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4279000000",M020011,,,,,,,,,,,,,,,,,,,1137,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2811000000",M020011,,,,,,,,,,,,,,,,,,,3270,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4311300000",M020011,,,,,,,,,,,,,,,,,,,5058,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","1117000000",M020011,,,,,,,,,,,,,,,,,,,5973,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4812000000",M020011,,,,,,,,,,,,,,,,,,,25893,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2729000000",M020011,,,,,,,,,,,,,,,,,,,18999,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2917000000",M020011,,,,,,,,,,,,,,,,,,,15687,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
